genus,S_1,S_2,S_3,S_4,W_1,W_2,W_3,W_4,PETS_1,PETS_2,PETS_3,PETS_4,PETW_1,PETW_2,PETW_3,PETW_4,EVS_1,EVS_2,EVS_3,EVS_4,EVW_1,EVW_2,EVW_3,EVW_4,PETEVS_1,PETEVS_2,PETEVS_3,PETEVS_4,PETEVW_1,PETEVW_2,PETEVW_3,PETEVW_4
g__Lautropia,0,0,0.005418733,0,0.008128099,0,0,0,0.005418733,0.002709366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0
g__Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105665285,0.02167493,0.040640494,0,0.016256198,0.005418733,0,0.037931128
g__LD29,0,0,0,0,0,0,0,0,0,0,0.027093663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Lechevalieria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0.024384297,0,0,0,0,0,0,0
g__Legionella,0,0,0,0,0,0,0,0,0.008128099,0.018965564,0,0.013546831,0.330542686,0.046059227,0.010837465,0.051477959,0,0,0.008128099,0.005418733,0,0.013546831,0.008128099,0.005418733,0,0,0,0,0,0.010837465,0,0.037931128
g__Lentimicrobium,0.078571622,0.11650275,0.132758948,0.11650275,0,0,0,0,0.07315289,0.127340215,0.092118453,0.048768593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024384297,0,0
g__Leptolinea,0.027093663,0,0.046059227,0.008128099,0,0,0,0,0.029803029,0,0.065024791,0.070443523,0,0,0,0,0.002709366,0,0.040640494,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0
g__Leptonema,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0.027093663,0,0,0,0,0
g__Leptospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Leucobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062315424,0,0,0,0,0,0,0
g__Levilinea,0,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Lewinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0.005418733,0,0
g__Limnobacter,0.845322279,0.048768593,0,0,0.363055081,0.002709366,0.287192826,0.070443523,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0.04334986,0,0,0.102955919,0.035221762,0,0.081280988,0,0.016256198,0,0
g__Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0,0.097537186,0,0.005418733,0.027093663,0,0,0,0,0.029803029,0.029803029,0.010837465,0.002709366,0,0,0,0,0,0,0,0
g__Limnothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Litorilinea,0,0,0,0,0,0,0,0,0.013546831,0.018965564,0.005418733,0.016256198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Longimicrobium,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0.018965564,0,0.008128099,0.002709366,0.029803029,0.008128099,0,0,0,0,0,0,0,0,0,0
g__Longispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010837465,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0
g__Longivirga,0,0,0,0,0,0,0,0,0,0.002709366,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Luedemannella,0,0.010837465,0,0,0,0,0,0,0.070443523,0.078571622,0,0.11650275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Luteimonas,0,0,0,0,0.048768593,0.04334986,0.065024791,0.02167493,0,0,0,0.013546831,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0.010837465,0,0.037931128,0,0.018965564,0.008128099,0.056896692,0.037931128
g__Luteitalea,0,0,0,0,0.02167493,0.005418733,0.013546831,0.029803029,0.027093663,0.002709366,0.059606058,0.092118453,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0.07315289,0,0,0,0,0,0,0
g__Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0.035221762,0,0,0,0,0,0,0,0,0,0
g__Lutispora,0.054187326,1.216505459,0.493104663,0.054187326,0.224877401,0,0.054187326,0.016256198,0.32783332,0.322414587,0.265517895,0.235714866,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0.048768593,0.018965564,0,0.083990355,0.010837465,0.035221762,0,0
g__Lysinibacillus,0,0.224877401,0,0,0.075862256,0.322414587,0,0.273645994,0.121921483,0.016256198,0.102955919,0.09482782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0,0,0,0
g__Lysobacter,0.379311279,11.08130808,5.063805576,1.411579831,0.447045436,0.140887047,0.384730012,0.425370506,1.490151454,1.373648704,1.506407651,1.276111518,0.50936086,0.503942128,0.425370506,0.663794738,0.016256198,0,0.008128099,0.005418733,0.027093663,0,0,0,0.942859465,1.449510959,1.043106018,1.893847029,0.72069143,1.460348425,0.227586767,0.455173535
g__M2PT2-76_termite_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Magnetospirillum,0,0,0,0,0,0,0,0,0.002709366,0.016256198,0,0,0,0,0,0,0,0,0,0.008128099,0.010837465,0,0,0,0,0,0,0,0,0,0,0
g__Marinoscillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Marmoricola,0,0,0,0,0,0,0,0,0.186946273,0.25468043,0.214039936,0.376601913,0,0,0,0,0,0,0,0,0,0,0,0,0.100246552,0,0,0,0,0,0,0
g__Marvinbryantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Massilia,0.162561977,0.474139099,0.352217616,0.165271343,0.02167493,0,0.008128099,0,1.105421442,1.189411797,1.140643204,1.067490314,0.037931128,0.024384297,0.008128099,0.018965564,0.067734157,0,0.09482782,0.208621204,0.111084017,0.059606058,0.010837465,0.010837465,0.39285811,0.495814029,0.338670785,0.15985261,0,0.130049581,0,0.07315289
g__Meiothermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661085372,0,2.064537105,1.059362215,1.173155599,0.490395297,0.037931128,0.07315289,0,0,0,0,0,0,0,0
g__Melghirimyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Mesorhizobium,0.005418733,0,0,0,0.100246552,0.013546831,0.208621204,0.051477959,0,0.010837465,0,0.04334986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Methylibium,0.281774093,0.181527541,0,0.230296134,1.948034355,0.455173535,0.414533041,0.674632204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872415942,0.149015145,0.092118453,0.195074372,0.037931128,0.839903547,0.533745157,0.877834674
g__Methylobacillus,0.11650275,0.008128099,0.018965564,0.008128099,0.02167493,0.010837465,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0.013546831,0.008128099
g__Methylobacter,0,0,0,0,0,0,0,0,0,0.040640494,0.054187326,0.005418733,0.642119808,0.241133599,0.119212116,0.127340215,0,0,0,0.032512395,0.010837465,0,0,0,0,0,0,0,0,0,0,0
g__Methylobacterium-Methylorubrum,0,0,0,0,0,0,0,0,0,0,0.005418733,0.018965564,0,0,0,0,0.214039936,0,0.02167493,0.008128099,0.016256198,0.067734157,0.008128099,0,0.086699721,0.173399442,0.398276843,0.083990355,0,0.092118453,0.02167493,0.113793384
g__Methylocaldum,0,0,0,0,0,0,0,0,0,0.279064727,0.037931128,0.02167493,0,0,0,0,0.054187326,0.008128099,0.151724512,0.013546831,0.056896692,0.018965564,0,0.002709366,0,0,0,0,0,0,0,0
g__Methyloceanibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197783738,0.010837465,0.056896692,0.11650275,0,0.062315424,0.008128099,0
g__Methylocystis,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Methylomagnum,0,0,0,0,0,0,0,0,0,0,0.016256198,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Methylomicrobium,0,0,0,0,0,0,0,0,0,0.102955919,0.035221762,0.040640494,0,0,0,0,0,0,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Methylophilus,0.428079872,1.12167764,1.300495814,0.715272698,0.387439378,0.617735512,0.249261698,0.406404942,0.024384297,0.008128099,0.002709366,0.018965564,1.433254762,1.487442087,2.598282262,2.164783657,0.032512395,0.013546831,0.146305779,0.040640494,0.287192826,0.132758948,0,0.018965564,1.240889756,1.034977919,1.793600477,3.267495733,0.127340215,0.474139099,0.325123954,7.85716221
g__Methyloversatilis,0.690888401,1.682516459,4.456907529,1.314042645,12.85594299,6.077108564,10.91332737,9.390663524,0.010837465,0.062315424,0.04334986,0.016256198,0.013546831,0.075862256,0.493104663,0.409114308,0.005418733,0,0,0,0,0.002709366,0,0,0.452464169,0.270936628,0.268227262,1.040396651,0.501232762,1.528082581,0.227586767,0.978081227
g__Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040640494,0,0,0,0,0.018965564,0,0
g__Microbispora,0,0,0,0,0,0,0,0,0.089409087,0,0.059606058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Micrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18965564,0.040640494,0.468720366,0,0,0,0,0.040640494
g__Microlunatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0
g__Micromonospora,0,0.062315424,0.04334986,0.032512395,0,0,0,0,0.926603267,1.118968273,1.040396651,1.029559186,0,0,0,0,0.008128099,0,0,0.008128099,0.024384297,0,0,0,0.13817768,0.135468314,0.09482782,0,0,0,0,0
g__Micropepsis,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Microvirga,0.165271343,0.799263052,0.929312634,0.612316779,0,0.013546831,0,0,0.864287843,1.25985532,0.512070227,0.850741012,0,0,0,0,0,0.005418733,0.002709366,0,0.002709366,0,0,0,0.07315289,0.04334986,0.081280988,0.203202471,0,0.146305779,0,0
g__Minicystis,0,0,0,0,0,0,0,0,0,0.078571622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__mle1-7,0.013546831,0.02167493,0.005418733,0.024384297,0.037931128,0,0.024384297,0.024384297,0.121921483,0.157143244,0.130049581,0.149015145,0,0,0,0,0.02167493,0,0.048768593,0.002709366,0.059606058,0,0,0.005418733,0,0,0.008128099,0,0,0,0,0
g__MM2,0,0.018965564,0,0,0,0,0,0,0,0,0.010837465,0,0.005418733,0.086699721,0.089409087,0.102955919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__MND1,0.016256198,0.04334986,0.04334986,0.018965564,0.062315424,0.008128099,0.070443523,0.037931128,0.197783738,0.709853965,0.21133057,0.200493105,0,0,0,0,0.403695576,0.027093663,1.265274052,0.097537186,0.373892547,0.075862256,0,0.024384297,0.089409087,0.130049581,0.176108808,0,0.018965564,0.214039936,0.219458669,0.869706576
g__Modestobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0.016256198,0,0,0,0,0,0,0
g__Mogibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366
g__Monoglobus,0,0,0,0,0,0,0,0,0.008128099,0.008128099,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0,0,0,0
g__Moraxella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0.027093663,0,0,0,0,0,0,0
g__MSBL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Mucilaginibacter,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Mucispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048768593,0.013546831,0,0,0,0.008128099,0,0
g__Mycobacterium,0,0.032512395,0.018965564,0.018965564,0,0.018965564,0.008128099,0.005418733,0.991628058,1.322170744,1.072909047,0.891381506,0.086699721,0.046059227,0.046059227,0.054187326,0,0,0,0.005418733,0,0,0,0,0,0,0.048768593,0,0,0.024384297,0.005418733,0.008128099
g__Mycoplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027093663,0,0,0,0.04334986,0,0
g__Mycoplasma_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0.005418733,0,0
g__Myxococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nakamurella,0,0,0,0,0,0,0,0,0,0,0,0.016256198,0,0,0,0,0,0,0,0.008128099,0.013546831,0,0,0,0,0,0,0,0,0,0,0
g__Nannocystis,0,0,0,0,0.008128099,0,0,0,0.029803029,0.018965564,0.035221762,0.02167493,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0
g__Negativibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029803029,0,0,0,0.008128099,0.024384297,0,0
g__Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035221762
g__Neochlamydia,0,0.013546831,0.010837465,0,0,0,0,0.013546831,0.010837465,0,0.016256198,0.037931128,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nesterenkonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nevskia,0,0,0,0,0,0,0,0,0,0,0.016256198,0,0.035221762,0.132758948,0.273645994,1.00517489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Niabella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016256198,0,0,0,0,0,0,0,0,0,0
g__Niastella,0,0,0.010837465,0.010837465,0,0,0,0,0.027093663,0.016256198,0,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nitrolancea,0,0,0,0,0,0,0,0,0.027093663,0.016256198,0.024384297,0.037931128,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nitrosomonas,0,0,0,0,0.016256198,0.002709366,0,0,0.010837465,0.035221762,0.027093663,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Nitrosospira,0,0.010837465,0.013546831,0,0,0,0,0,0.016256198,0.018965564,0.029803029,0,0,0,0,0,0,0,0.016256198,0,0,0,0,0,0,0,0.029803029,0,0,0,0.010837465,0
g__Nitrospira,0.062315424,0.265517895,0.208621204,0.230296134,1.292367715,0.647538541,2.35172993,1.314042645,0.119212116,0.829066081,0.238424233,0.140887047,0,0,0.010837465,0.018965564,0.086699721,0.013546831,0.298030291,0.024384297,0.132758948,0.037931128,0,0.02167493,0.051477959,0.035221762,0.07315289,0.062315424,0.032512395,0.086699721,0.100246552,1.021431087
g__Niveispirillum,0.146305779,0.433498605,0.335961419,0.075862256,0.130049581,0.769460023,0.059606058,0.325123954,0,0,0.086699721,0.037931128,0.102955919,0.872415942,0.284483459,0.303449023,0.008128099,0,0.062315424,0.008128099,0.09482782,0.501232762,0.008128099,0.121921483,0,0.02167493,0.010837465,0,0.010837465,0.075862256,0.016256198,0.04334986
g__NK4A214_group,0,0,0,0,0,0,0,0,0.008128099,0.002709366,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121921483,0,0.065024791,0.536454523,0.186946273,0.425370506,0,0
g__Nocardia,0.005418733,0.005418733,0,0,0,0,0.005418733,0.037931128,0.130049581,0.048768593,0.027093663,0.016256198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0
g__Nocardioides,0.046059227,0.067734157,0.078571622,0,0.005418733,0,0,0.010837465,1.579560541,2.65788832,1.796309843,2.056409006,0,0,0,0,0.018965564,0,0.005418733,0,0.024384297,0.035221762,0,0,0.50936086,0,0.029803029,0,0.005418733,0,0,0.027093663
g__norank_f__01D2Z36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__37-13,0,0,0.008128099,0,0.02167493,0.016256198,0.018965564,0.032512395,0.005418733,0.008128099,0,0,0,0,0,0,0.029803029,0,0.092118453,0.010837465,0.108374651,0.029803029,0,0.016256198,0,0,0,0,0,0.024384297,0,0.013546831
g__norank_f__67-14,0,0.013546831,0,0.005418733,0,0,0,0,1.525373215,1.948034355,1.641875965,1.858625268,0.013546831,0,0.002709366,0.018965564,0,0,0,0,0.002709366,0,0,0,0.181527541,0.013546831,0.008128099,0,0,0,0,0.002709366
g__norank_f__A0839,0,0.010837465,0.010837465,0,0.062315424,0,0.048768593,0.018965564,0.029803029,0.07315289,0.018965564,0.008128099,0,0,0,0,0.008128099,0.002709366,0.140887047,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0.02167493
g__norank_f__A21b,0.02167493,0.008128099,0,0,0,0,0,0,0.032512395,0.029803029,0.027093663,0.027093663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016256198,0,0,0,0.013546831,0,0
g__norank_f__A4b,0,0.162561977,0.097537186,0.005418733,0.577095017,0.056896692,0.65566664,0.18965564,0.284483459,0.092118453,0.243842965,0.208621204,0,0,0,0,0.224877401,0.024384297,2.013059145,0.140887047,0.235714866,0.146305779,0.013546831,0.059606058,0.11650275,0,0.008128099,0,0.005418733,0.035221762,0,0.02167493
g__norank_f__AB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Acetobacteraceae,0,0,0,0,0,0,0,0,0.02167493,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0.054187326,0,0.035221762,0,0,0,0,0
g__norank_f__Acidobacteriaceae_Subgroup_1,0.067734157,0.105665285,0.067734157,0.032512395,0,0,0,0,0.758622558,0.230296134,0.58251375,0.997046791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035221762,0,0,0,0,0
g__norank_f__AKAU3564_sediment_group,0,0,0,0,0,0,0,0,0.02167493,0.010837465,0.005418733,0.016256198,0,0,0,0,0,0,0.037931128,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__AKIW781,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__AKYG1722,0.005418733,0,0,0,0,0,0,0,0.070443523,0.075862256,0.056896692,0.018965564,0,0,0,0,0.02167493,0,0.051477959,0,0.002709366,0,0,0,0,0,0.010837465,0,0,0,0,0
g__norank_f__AKYH767,0,0.013546831,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0.15985261,0.018965564,0.845322279,0.086699721,0.167980709,0.032512395,0,0,0,0,0.024384297,0,0,0,0,0
g__norank_f__Amb-16S-1323,0,0,0,0,0,0,0.005418733,0,0,0.027093663,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Anaerolineaceae,1.056652849,1.097293343,1.617491669,0.279064727,0.013546831,0,0.005418733,0.010837465,3.698284971,0.991628058,3.687447506,2.93424368,0,0,0,0,1.297786448,0.065024791,6.307404698,1.132515105,1.82069414,0.685469669,0.027093663,0.121921483,0.961825029,0.417242407,0.308867756,0.127340215,0.075862256,1.728575686,0.265517895,0.858869111
g__norank_f__Ardenticatenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07315289,0.008128099,0.587932483,0.078571622,0,0,0.005418733,0,0,0,0,0,0,0,0,0
g__norank_f__Azospirillaceae,0,0,0.005418733,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065024791
g__norank_f__B122,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024384297,0,0,0,0,0,0
g__norank_f__B1-7BS,0,0,0,0,0.002709366,0,0,0,0.013546831,0.075862256,0,0,0,0,0,0,0.062315424,0.005418733,0.203202471,0,0,0.008128099,0,0,0,0.035221762,0,0,0,0,0,0.02167493
g__norank_f__B5-096,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0.008128099,0,0.002709366,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Babeliaceae,0,0,0,0,0,0,0,0,0.005418733,0,0.002709366,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010837465,0,0,0,0,0,0
g__norank_f__bac2nit3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0.013546831,0,0,0,0,0,0,0.005418733,0,0.005418733,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Bacteroidetes_vadinHA17,0.265517895,0.395567477,0.246552331,0.241133599,0,0,0.005418733,0,0.961825029,0.796553686,0.929312634,0.77216939,0,0,0,0,0,0.002709366,0.029803029,0,0.005418733,0,0,0,0.403695576,0.333252052,0.335961419,0.186946273,0.013546831,0,0.010837465,0
g__norank_f__Barnesiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121921483,0,0,0.165271343,0.059606058,0.035221762,0,0
g__norank_f__Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02167493,0,0,0,0,0
g__norank_f__BIrii41,0,0,0,0,0.002709366,0,0,0,0.02167493,0.15985261,0.07315289,0.035221762,0,0,0,0,0,0,0,0,0,0,0,0,0.083990355,0,0.070443523,0,0,0,0,0
g__norank_f__Blastocatellaceae,0,0,0.046059227,0,0,0,0,0,0.070443523,0,0,0.04334986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__BSV26,0,0.070443523,0.075862256,0.029803029,0,0.005418733,0.005418733,0,0.111084017,0.143596413,0.102955919,0.111084017,0,0,0,0,0.037931128,0.02167493,0.32783332,0.178818174,0.750494459,0.617735512,0.024384297,0.040640494,0.005418733,0,0,0,0,0,0,0.037931128
g__norank_f__BSV40,0.056896692,0.127340215,0.130049581,0.056896692,0,0,0,0,0.50936086,0.295320924,0.316995855,0.335961419,0,0,0,0,0.010837465,0,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Butyricicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0
g__norank_f__Caldilineaceae,0.002709366,0.078571622,0.048768593,0.027093663,0.246552331,0.298030291,0.425370506,0.287192826,0.173399442,0.173399442,0.151724512,0.119212116,0,0,0,0,0.27635536,0.027093663,0.60418868,0.07315289,0.065024791,0.013546831,0,0.016256198,0.135468314,0,0.013546831,0,0,0.016256198,0.013546831,0
g__norank_f__Caloramatoraceae,0.09482782,0.176108808,0.086699721,0,0.002709366,0,0,0.016256198,0.065024791,0.048768593,0.059606058,0.037931128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Candidatus_Raymondbacteria,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Caulobacteraceae,0,0,0,0,0,0,0,0,0,0.035221762,0,0,0,0,0,0,0.024384297,0,0,0,0.013546831,0,0,0,0,0.018965564,0,0,0,0,0.005418733,0
g__norank_f__Cellvibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Chitinophagaceae,0.105665285,0.170690076,0.086699721,0.181527541,0.143596413,0.249261698,0.563548186,1.538920047,0.13817768,0.130049581,0.108374651,0.146305779,0.005418733,0,0,0,0,0,0,0.002709366,0,0,0,0,0.032512395,0.04334986,0,0.100246552,0,0,0,0.013546831
g__norank_f__Chlamydiaceae,0,0,0,0,0,0,0.005418733,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0.010837465
g__norank_f__Christensenellaceae,0,0.008128099,0.02167493,0,0,0,0,0,0.184236907,0.062315424,0.065024791,0.078571622,0,0,0,0,0.005418733,0,0.086699721,0.024384297,0.005418733,0.002709366,0,0.005418733,2.034734076,1.254436587,0.132758948,0.544582622,0,0,0,0
g__norank_f__Chroococcidiopsaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07315289,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Chthoniobacteraceae,0,0,0,0,0,0,0,0,0.005418733,0,0.032512395,0.027093663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__Comamonadaceae,0,0,0,0,0,0,0,0,0,0.029803029,0,0.02167493,0,0,0,0,0.016256198,0,0.032512395,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__CPla-3_termite_group,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__norank_f__cvE6,0,0,0,0.005418733,0.067734157,0,0.008128099,0.008128099,0,0.002709366,0.005418733,0,0,0,0,0.005418733,0,0,0.002709366,0.002709366,0,0.048768593,0.032512395,0.024384297,0.119212116,0.032512395,0.018965564,0.032512395,0.010837465,0.726110163,0.016256198,0.089409087
g__norank_f__D05-2,0,0,0,0,0,0,0,0.002709366,0,0.027093663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
