genus,S_1,S_2,S_3,S_4,W_1,W_2,W_3,W_4,PETS_1,PETS_2,PETS_3,PETS_4,PETW_1,PETW_2,PETW_3,PETW_4,EVS_1,EVS_2,EVS_3,EVS_4,EVW_1,EVW_2,EVW_3,EVW_4,PETEVS_1,PETEVS_2,PETEVS_3,PETEVS_4,PETEVW_1,PETEVW_2,PETEVW_3,PETEVW_4
g__Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0.089409087,0.520198326,0.552710721,0.88867214,0,0,0,0.008128099,2.614538459,6.38597632,1.230052291,1.365520605,0.111084017,0.146305779,0.051477959,0.197783738,0.051477959,0.961825029,0.092118453,2.392370425
g__Aurantisolimonas,0,0,0,0.008128099,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Aureimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02167493,0,0,0,0,0,0,0
g__Azoarcus,0.02167493,0.246552331,0.149015145,0.032512395,0.27635536,0.018965564,0.013546831,0.09482782,0.02167493,0.037931128,0.024384297,0.013546831,0,0,0,0,0,0,0,0,0.02167493,0,0,0,0.083990355,0,0.092118453,0.048768593,0.008128099,0.008128099,0.005418733,0
g__Azohydromonas,0,0,0,0,0,0.018965564,0,0,0.032512395,0.037931128,0,0.024384297,0,0,0,0,0,0,0,0.010837465,0,0.032512395,0,0,0,0,0,0,0.065024791,0,0,0
g__Azospira,0,0,0,0,0,0,0,0,0.181527541,0.027093663,0,0,0,0,0,0,0,0,0,0,0.09482782,0.013546831,0,0.010837465,0,0,0,0,0,0,0,0
g__Azospirillum,0.384730012,1.701482023,1.178574331,0.165271343,1.826112872,0.146305779,0.130049581,0.30615839,0.046059227,0.040640494,0.032512395,0.04334986,0,0,0,0,0,0,0.005418733,0,0,0.002709366,0.016256198,0,0.008128099,0.029803029,0.029803029,0,0.056896692,0.203202471,0.062315424,0.059606058
g__Azotobacter,0,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bacillus,0.419951773,14.10767022,28.6921889,36.1077244,1.257145954,6.795090628,0.360345715,1.365520605,3.871684413,3.031780866,2.885475087,4.12907421,0.008128099,0.016256198,0.040640494,0.027093663,0.002709366,0,0.005418733,0.010837465,0.008128099,0.002709366,0.008128099,0,0.826356715,1.316752012,2.28670514,1.601235471,0.390148744,1.593107372,0.37118318,2.785228535
g__Bacteriovorax,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bacteroides,0.016256198,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680050936,0,0.447045436,0.18965564,1.181283698,1.641875965,0,0.013546831
g__Baia,0,0,0,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bauldia,0,0.010837465,0.008128099,0,0.016256198,0.024384297,0,0.040640494,0.04334986,0.119212116,0.018965564,0.075862256,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0.013546831,0.005418733,0,0,0.008128099,0,0.002709366,0.032512395
g__BBMC-4,0,0,0,0,0,0,0,0,0.029803029,0,0.035221762,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bdellovibrio,0.035221762,0.056896692,0.005418733,0.002709366,0.07315289,0.059606058,0.051477959,0.04334986,0.005418733,0.035221762,0,0.032512395,0.04334986,0,0.018965564,0.005418733,0.09482782,0,0.214039936,0.016256198,0.037931128,0.024384297,0,0.013546831,0.414533041,0.27635536,0.059606058,0.132758948,0.056896692,0.121921483,0.184236907,0.474139099
g__Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029803029,0,0
g__Blastocatella,0,0,0.032512395,0,0.037931128,0.010837465,0.09482782,0.067734157,0,0,0.010837465,0,0,0,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018965564,0,0
g__Blastococcus,0,0,0,0,0,0,0,0,0,0.046059227,0.024384297,0.051477959,0,0,0,0,0.02167493,0,0,0,0.018965564,0.02167493,0,0,0,0,0.005418733,0,0,0,0,0
g__Blastomonas,0.926603267,0.858869111,1.804437942,4.784740849,1.273402151,1.30320518,1.598526105,4.549025983,0,0,0,0,0,0,0.040640494,0.029803029,0,0,0,0,0,0,0,0,0.449754802,0.265517895,0.146305779,0.685469669,0.219458669,0.308867756,0.2330055,1.812566041
g__Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078571622,0,0.04334986,0,0.046059227,0.046059227,0,0
g__Blvii28_wastewater-sludge_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010837465,0.002709366,0.018965564,0.013546831,0.018965564,0.002709366,0,0,0,0,0,0,0,0,0,0
g__Bosea,0.121921483,0.092118453,0.067734157,0.09482782,0.330542686,0.224877401,0.105665285,0.238424233,0,0.016256198,0,0.008128099,0.005418733,0,0,0.005418733,0.005418733,0,0,0,0.002709366,0.013546831,0,0,0.241133599,0.016256198,0.010837465,0.035221762,0,0.035221762,0.035221762,0.046059227
g__Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100246552,0,0,0,0.040640494
g__Brachymonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016256198
g__Bradyrhizobium,0.04334986,0.054187326,0.037931128,0.056896692,0.013546831,0,0,0,0.498523395,0.436207971,0.409114308,0.409114308,0,0,0,0,0.037931128,0,0.005418733,0.013546831,0,0,0,0,1.273402151,0.054187326,0.027093663,0,0,0,0,0
g__Brevibacillus,0,0.056896692,0.18965564,0.070443523,0,0.002709366,0,0,0.119212116,0.243842965,0.056896692,0.102955919,0,0,0,0,0.016256198,0,0.032512395,0,0.040640494,0.008128099,0,0,0,0,0,0,0.024384297,0,0,0
g__Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0.013546831,0,0.024384297,0,0,0.005418733,0.013546831
g__Brevifollis,0,0,0,0,0,0,0.013546831,0,0,0,0,0,0,0,0.016256198,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0
g__Brevinema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0
g__Brevundimonas,0.780297488,0.6990165,0.425370506,0.289902192,0.60418868,0.623154244,4.570700913,0.964534395,0.02167493,0.07315289,0.02167493,0.027093663,0.070443523,0.02167493,0.046059227,0.067734157,0.111084017,0,0.054187326,0.035221762,0.065024791,0.056896692,0.005418733,0.002709366,7.204204936,1.28153025,2.896312552,4.624888239,1.910103227,0.466011,1.934487523,1.663550895
